distance_cm,distance_m,magnetic_field_t,pad_01_voltage_v,pad_02_voltage_v,pad_03_voltage_v,pad_04_voltage_v,pad_05_voltage_v,pad_06_voltage_v,pad_07_voltage_v,pad_08_voltage_v,pad_09_voltage_v,pad_10_voltage_v,pad_11_voltage_v,pad_12_voltage_v,pad_13_voltage_v,pad_14_voltage_v,pad_15_voltage_v,pad_16_voltage_v,pad_17_voltage_v,pad_18_voltage_v,pad_19_voltage_v,pad_20_voltage_v,pad_21_voltage_v,pad_22_voltage_v,pad_23_voltage_v,pad_24_voltage_v,pad_25_voltage_v,pad_26_voltage_v,pad_27_voltage_v,pad_28_voltage_v,pad_29_voltage_v,pad_30_voltage_v,pad_31_voltage_v,pad_32_voltage_v,pad_33_voltage_v,pad_34_voltage_v,pad_35_voltage_v,pad_36_voltage_v
4.000000000000000000e+01,4.000000000000000222e-01,2.531249999999999257e-08,2.487564086914062500e+00,2.488174438476562500e+00,2.475051879882812500e+00,2.491989135742187500e+00,2.491607666015625000e+00,2.515411376953125000e+00,2.492980957031250000e+00,2.511825561523437500e+00,2.493133544921875000e+00,2.468795776367187500e+00,2.498626708984375000e+00,2.502136230468750000e+00,2.487487792968750000e+00,2.504959106445312500e+00,2.507705688476562500e+00,2.479858398437500000e+00,2.488632202148437500e+00,2.493896484375000000e+00,2.486343383789062500e+00,2.504882812500000000e+00,2.470092773437500000e+00,2.494201660156250000e+00,2.493743896484375000e+00,2.488937377929687500e+00,2.496414184570312500e+00,2.491836547851562500e+00,2.482223510742187500e+00,2.496795654296875000e+00,2.487869262695312500e+00,2.505111694335937500e+00,2.492828369140625000e+00,2.504348754882812500e+00,2.489013671875000000e+00,2.514266967773437500e+00,2.502899169921875000e+00,2.487792968750000000e+00
3.900000000000000000e+01,3.900000000000000133e-01,2.730996813837050230e-08,2.487792968750000000e+00,2.488174438476562500e+00,2.474441528320312500e+00,2.491989135742187500e+00,2.490921020507812500e+00,2.514038085937500000e+00,2.492065429687500000e+00,2.510681152343750000e+00,2.494659423828125000e+00,2.470397949218750000e+00,2.499847412109375000e+00,2.501983642578125000e+00,2.488174438476562500e+00,2.505874633789062500e+00,2.507934570312500000e+00,2.480926513671875000e+00,2.487716674804687500e+00,2.492599487304687500e+00,2.485198974609375000e+00,2.505798339843750000e+00,2.470550537109375000e+00,2.494964599609375000e+00,2.494201660156250000e+00,2.487411499023437500e+00,2.497177124023437500e+00,2.493057250976562500e+00,2.482757568359375000e+00,2.495346069335937500e+00,2.487182617187500000e+00,2.504882812500000000e+00,2.493667602539062500e+00,2.505874633789062500e+00,2.490234375000000000e+00,2.514724731445312500e+00,2.503509521484375000e+00,2.488098144531250000e+00
3.800000000000000000e+01,3.800000000000000044e-01,2.952325411867618875e-08,2.487945556640625000e+00,2.488098144531250000e+00,2.474594116210937500e+00,2.492141723632812500e+00,2.491149902343750000e+00,2.514572143554687500e+00,2.492446899414062500e+00,2.511291503906250000e+00,2.494049072265625000e+00,2.469482421875000000e+00,2.500305175781250000e+00,2.502059936523437500e+00,2.488479614257812500e+00,2.506103515625000000e+00,2.508850097656250000e+00,2.482147216796875000e+00,2.488708496093750000e+00,2.492752075195312500e+00,2.485275268554687500e+00,2.504425048828125000e+00,2.468948364257812500e+00,2.493362426757812500e+00,2.492523193359375000e+00,2.487487792968750000e+00,2.496414184570312500e+00,2.492752075195312500e+00,2.483520507812500000e+00,2.496414184570312500e+00,2.488327026367187500e+00,2.506484985351562500e+00,2.494506835937500000e+00,2.506332397460937500e+00,2.489318847656250000e+00,2.513732910156250000e+00,2.502136230468750000e+00,2.486953735351562500e+00
3.700000000000000000e+01,3.699999999999999956e-01,3.198231101810356701e-08,2.488479614257812500e+00,2.488861083984375000e+00,2.474746704101562500e+00,2.492218017578125000e+00,2.491531372070312500e+00,2.514648437500000000e+00,2.492523193359375000e+00,2.511215209960937500e+00,2.494354248046875000e+00,2.470016479492187500e+00,2.499389648437500000e+00,2.502136230468750000e+00,2.487792968750000000e+00,2.505645751953125000e+00,2.508316040039062500e+00,2.480545043945312500e+00,2.488861083984375000e+00,2.494583129882812500e+00,2.485885620117187500e+00,2.505111694335937500e+00,2.469711303710937500e+00,2.493515014648437500e+00,2.493667602539062500e+00,2.487411499023437500e+00,2.496948242187500000e+00,2.492675781250000000e+00,2.483062744140625000e+00,2.496414184570312500e+00,2.487564086914062500e+00,2.505111694335937500e+00,2.494049072265625000e+00,2.505645751953125000e+00,2.489318847656250000e+00,2.513961791992187500e+00,2.502975463867187500e+00,2.487564086914062500e+00
3.600000000000000000e+01,3.599999999999999867e-01,3.472222222222222653e-08,2.488098144531250000e+00,2.488021850585937500e+00,2.474441528320312500e+00,2.493209838867187500e+00,2.492141723632812500e+00,2.514877319335937500e+00,2.492675781250000000e+00,2.510986328125000000e+00,2.494201660156250000e+00,2.470550537109375000e+00,2.499084472656250000e+00,2.502136230468750000e+00,2.488327026367187500e+00,2.504959106445312500e+00,2.508392333984375000e+00,2.480697631835937500e+00,2.488327026367187500e+00,2.493591308593750000e+00,2.486190795898437500e+00,2.505798339843750000e+00,2.469940185546875000e+00,2.493515014648437500e+00,2.492904663085937500e+00,2.487792968750000000e+00,2.495803833007812500e+00,2.492065429687500000e+00,2.482757568359375000e+00,2.496032714843750000e+00,2.488021850585937500e+00,2.505111694335937500e+00,2.493591308593750000e+00,2.505264282226562500e+00,2.488479614257812500e+00,2.513656616210937500e+00,2.503356933593750000e+00,2.488708496093750000e+00
3.500000000000000000e+01,3.499999999999999778e-01,3.778425655976677058e-08,2.487640380859375000e+00,2.487640380859375000e+00,2.474670410156250000e+00,2.492599487304687500e+00,2.491912841796875000e+00,2.516021728515625000e+00,2.493057250976562500e+00,2.511596679687500000e+00,2.493972778320312500e+00,2.469482421875000000e+00,2.498245239257812500e+00,2.501525878906250000e+00,2.488479614257812500e+00,2.504348754882812500e+00,2.507476806640625000e+00,2.479400634765625000e+00,2.488403320312500000e+00,2.494354248046875000e+00,2.486724853515625000e+00,2.506103515625000000e+00,2.470855712890625000e+00,2.495269775390625000e+00,2.494583129882812500e+00,2.488708496093750000e+00,2.496109008789062500e+00,2.492828369140625000e+00,2.482833862304687500e+00,2.496261596679687500e+00,2.487792968750000000e+00,2.504653930664062500e+00,2.493286132812500000e+00,2.505187988281250000e+00,2.488861083984375000e+00,2.513275146484375000e+00,2.502136230468750000e+00,2.487106323242187500e+00
3.400000000000000000e+01,3.400000000000000244e-01,4.121717891308772134e-08,2.488174438476562500e+00,2.488403320312500000e+00,2.474517822265625000e+00,2.491912841796875000e+00,2.490844726562500000e+00,2.514419555664062500e+00,2.491683959960937500e+00,2.510604858398437500e+00,2.494049072265625000e+00,2.469253540039062500e+00,2.498855590820312500e+00,2.502136230468750000e+00,2.489013671875000000e+00,2.505722045898437500e+00,2.507553100585937500e+00,2.480468750000000000e+00,2.488555908203125000e+00,2.494659423828125000e+00,2.487106323242187500e+00,2.504882812500000000e+00,2.469558715820312500e+00,2.494354248046875000e+00,2.494277954101562500e+00,2.488403320312500000e+00,2.496185302734375000e+00,2.491760253906250000e+00,2.481765747070312500e+00,2.496719360351562500e+00,2.487564086914062500e+00,2.504577636718750000e+00,2.493133544921875000e+00,2.504730224609375000e+00,2.489624023437500000e+00,2.514648437500000000e+00,2.503356933593750000e+00,2.488632202148437500e+00
3.300000000000000000e+01,3.300000000000000155e-01,4.507888805409466091e-08,2.487487792968750000e+00,2.488708496093750000e+00,2.474517822265625000e+00,2.493057250976562500e+00,2.491836547851562500e+00,2.514877319335937500e+00,2.492599487304687500e+00,2.510986328125000000e+00,2.493362426757812500e+00,2.468948364257812500e+00,2.499313354492187500e+00,2.501983642578125000e+00,2.488555908203125000e+00,2.505187988281250000e+00,2.508087158203125000e+00,2.480545043945312500e+00,2.487869262695312500e+00,2.493972778320312500e+00,2.486190795898437500e+00,2.504730224609375000e+00,2.470092773437500000e+00,2.494430541992187500e+00,2.494354248046875000e+00,2.488937377929687500e+00,2.495498657226562500e+00,2.491378784179687500e+00,2.481765747070312500e+00,2.495956420898437500e+00,2.487564086914062500e+00,2.504653930664062500e+00,2.492675781250000000e+00,2.504348754882812500e+00,2.489242553710937500e+00,2.514801025390625000e+00,2.503738403320312500e+00,2.488784790039062500e+00
3.200000000000000000e+01,3.200000000000000067e-01,4.943847656250000394e-08,2.487182617187500000e+00,2.488632202148437500e+00,2.475128173828125000e+00,2.492904663085937500e+00,2.491531372070312500e+00,2.515335083007812500e+00,2.493057250976562500e+00,2.511520385742187500e+00,2.493743896484375000e+00,2.469787597656250000e+00,2.498626708984375000e+00,2.501907348632812500e+00,2.488098144531250000e+00,2.505187988281250000e+00,2.507858276367187500e+00,2.480545043945312500e+00,2.488861083984375000e+00,2.494125366210937500e+00,2.486724853515625000e+00,2.505569458007812500e+00,2.470169067382812500e+00,2.493972778320312500e+00,2.494354248046875000e+00,2.488098144531250000e+00,2.496337890625000000e+00,2.491836547851562500e+00,2.482452392578125000e+00,2.496948242187500000e+00,2.488479614257812500e+00,2.505187988281250000e+00,2.493591308593750000e+00,2.505035400390625000e+00,2.488861083984375000e+00,2.513961791992187500e+00,2.503356933593750000e+00,2.488021850585937500e+00
3.100000000000000000e+01,3.099999999999999978e-01,5.437883924675237572e-08,2.487030029296875000e+00,2.488250732421875000e+00,2.474288940429687500e+00,2.492370605468750000e+00,2.491607666015625000e+00,2.515258789062500000e+00,2.492980957031250000e+00,2.511062622070312500e+00,2.494735717773437500e+00,2.469482421875000000e+00,2.499160766601562500e+00,2.502288818359375000e+00,2.488327026367187500e+00,2.505416870117187500e+00,2.507629394531250000e+00,2.480316162109375000e+00,2.487487792968750000e+00,2.493820190429687500e+00,2.485961914062500000e+00,2.506332397460937500e+00,2.471466064453125000e+00,2.495651245117187500e+00,2.493743896484375000e+00,2.488632202148437500e+00,2.496871948242187500e+00,2.492446899414062500e+00,2.482452392578125000e+00,2.495346069335937500e+00,2.486877441406250000e+00,2.503890991210937500e+00,2.492599487304687500e+00,2.504653930664062500e+00,2.489929199218750000e+00,2.514572143554687500e+00,2.503204345703125000e+00,2.488250732421875000e+00
3.000000000000000000e+01,2.999999999999999889e-01,6.000000000000000787e-08,2.488174438476562500e+00,2.489242553710937500e+00,2.474975585937500000e+00,2.492446899414062500e+00,2.491226196289062500e+00,2.514648437500000000e+00,2.492675781250000000e+00,2.511367797851562500e+00,2.494201660156250000e+00,2.469406127929687500e+00,2.499389648437500000e+00,2.501754760742187500e+00,2.488479614257812500e+00,2.505187988281250000e+00,2.507553100585937500e+00,2.480468750000000000e+00,2.488174438476562500e+00,2.493591308593750000e+00,2.487030029296875000e+00,2.504730224609375000e+00,2.469711303710937500e+00,2.494964599609375000e+00,2.494125366210937500e+00,2.488632202148437500e+00,2.496490478515625000e+00,2.492523193359375000e+00,2.482910156250000000e+00,2.496109008789062500e+00,2.487335205078125000e+00,2.504806518554687500e+00,2.493820190429687500e+00,2.505416870117187500e+00,2.489395141601562500e+00,2.514572143554687500e+00,2.502822875976562500e+00,2.487640380859375000e+00
2.900000000000000000e+01,2.899999999999999800e-01,6.642338759276724828e-08,2.488403320312500000e+00,2.489318847656250000e+00,2.475128173828125000e+00,2.492218017578125000e+00,2.490997314453125000e+00,2.514419555664062500e+00,2.492294311523437500e+00,2.511062622070312500e+00,2.494125366210937500e+00,2.469711303710937500e+00,2.498931884765625000e+00,2.502746582031250000e+00,2.488403320312500000e+00,2.505798339843750000e+00,2.508239746093750000e+00,2.480545043945312500e+00,2.488555908203125000e+00,2.493591308593750000e+00,2.486190795898437500e+00,2.505569458007812500e+00,2.469329833984375000e+00,2.493972778320312500e+00,2.494201660156250000e+00,2.488250732421875000e+00,2.496337890625000000e+00,2.492828369140625000e+00,2.482986450195312500e+00,2.496337890625000000e+00,2.487792968750000000e+00,2.504882812500000000e+00,2.493591308593750000e+00,2.505416870117187500e+00,2.489318847656250000e+00,2.514266967773437500e+00,2.502822875976562500e+00,2.487945556640625000e+00
2.800000000000000000e+01,2.800000000000000266e-01,7.379737609329444194e-08,2.486801147460937500e+00,2.487258911132812500e+00,2.474365234375000000e+00,2.493362426757812500e+00,2.492218017578125000e+00,2.515792846679687500e+00,2.492752075195312500e+00,2.510833740234375000e+00,2.494430541992187500e+00,2.470169067382812500e+00,2.498931884765625000e+00,2.501144409179687500e+00,2.487945556640625000e+00,2.504272460937500000e+00,2.507629394531250000e+00,2.479705810546875000e+00,2.488632202148437500e+00,2.494430541992187500e+00,2.487258911132812500e+00,2.506408691406250000e+00,2.470550537109375000e+00,2.495346069335937500e+00,2.495422363281250000e+00,2.488861083984375000e+00,2.496566772460937500e+00,2.491989135742187500e+00,2.481765747070312500e+00,2.496109008789062500e+00,2.487258911132812500e+00,2.504119873046875000e+00,2.492370605468750000e+00,2.504119873046875000e+00,2.489624023437500000e+00,2.515029907226562500e+00,2.503814697265625000e+00,2.488861083984375000e+00
2.700000000000000000e+01,2.700000000000000178e-01,8.230452674897118452e-08,2.487335205078125000e+00,2.488021850585937500e+00,2.475433349609375000e+00,2.492675781250000000e+00,2.492065429687500000e+00,2.515792846679687500e+00,2.492980957031250000e+00,2.511520385742187500e+00,2.494354248046875000e+00,2.469863891601562500e+00,2.499313354492187500e+00,2.502593994140625000e+00,2.487792968750000000e+00,2.504653930664062500e+00,2.507400512695312500e+00,2.480087280273437500e+00,2.488861083984375000e+00,2.493438720703125000e+00,2.485733032226562500e+00,2.505722045898437500e+00,2.470092773437500000e+00,2.494201660156250000e+00,2.493286132812500000e+00,2.487411499023437500e+00,2.496109008789062500e+00,2.492294311523437500e+00,2.482757568359375000e+00,2.497406005859375000e+00,2.488861083984375000e+00,2.505569458007812500e+00,2.494049072265625000e+00,2.505645751953125000e+00,2.488937377929687500e+00,2.513656616210937500e+00,2.502365112304687500e+00,2.487411499023437500e+00
2.600000000000000000e+01,2.600000000000000089e-01,9.217114246700044279e-08,2.487487792968750000e+00,2.487945556640625000e+00,2.475433349609375000e+00,2.492370605468750000e+00,2.491302490234375000e+00,2.515182495117187500e+00,2.493515014648437500e+00,2.512817382812500000e+00,2.493743896484375000e+00,2.469329833984375000e+00,2.498779296875000000e+00,2.501678466796875000e+00,2.487335205078125000e+00,2.504425048828125000e+00,2.507858276367187500e+00,2.480010986328125000e+00,2.488403320312500000e+00,2.493820190429687500e+00,2.486343383789062500e+00,2.504882812500000000e+00,2.470779418945312500e+00,2.494659423828125000e+00,2.495269775390625000e+00,2.489089965820312500e+00,2.496490478515625000e+00,2.492218017578125000e+00,2.482452392578125000e+00,2.496414184570312500e+00,2.487945556640625000e+00,2.505035400390625000e+00,2.493743896484375000e+00,2.505187988281250000e+00,2.488937377929687500e+00,2.514114379882812500e+00,2.503356933593750000e+00,2.487716674804687500e+00
2.500000000000000000e+01,2.500000000000000000e-01,1.036799999999999993e-07,2.487792968750000000e+00,2.487945556640625000e+00,2.474288940429687500e+00,2.492294311523437500e+00,2.491683959960937500e+00,2.515335083007812500e+00,2.492980957031250000e+00,2.510910034179687500e+00,2.494354248046875000e+00,2.470321655273437500e+00,2.499084472656250000e+00,2.502136230468750000e+00,2.488250732421875000e+00,2.505187988281250000e+00,2.507705688476562500e+00,2.480621337890625000e+00,2.487106323242187500e+00,2.493591308593750000e+00,2.485961914062500000e+00,2.506484985351562500e+00,2.470245361328125000e+00,2.494354248046875000e+00,2.493667602539062500e+00,2.488098144531250000e+00,2.496414184570312500e+00,2.492980957031250000e+00,2.482986450195312500e+00,2.496490478515625000e+00,2.488327026367187500e+00,2.505645751953125000e+00,2.493896484375000000e+00,2.506027221679687500e+00,2.489166259765625000e+00,2.514419555664062500e+00,2.503051757812500000e+00,2.488250732421875000e+00
2.400000000000000000e+01,2.399999999999999911e-01,1.171875000000000162e-07,2.486953735351562500e+00,2.487869262695312500e+00,2.474975585937500000e+00,2.492218017578125000e+00,2.491683959960937500e+00,2.515563964843750000e+00,2.493286132812500000e+00,2.511520385742187500e+00,2.494583129882812500e+00,2.470016479492187500e+00,2.499084472656250000e+00,2.501068115234375000e+00,2.487792968750000000e+00,2.505264282226562500e+00,2.507324218750000000e+00,2.480773925781250000e+00,2.488098144531250000e+00,2.493591308593750000e+00,2.485427856445312500e+00,2.506408691406250000e+00,2.471008300781250000e+00,2.494583129882812500e+00,2.494125366210937500e+00,2.487792968750000000e+00,2.496032714843750000e+00,2.492446899414062500e+00,2.483215332031250000e+00,2.496261596679687500e+00,2.487869262695312500e+00,2.505111694335937500e+00,2.493133544921875000e+00,2.504959106445312500e+00,2.489929199218750000e+00,2.514724731445312500e+00,2.503356933593750000e+00,2.488250732421875000e+00
