frequency_hz,ensemble_average_psd_v2_per_hz
1.966684048903059034e-01,6.165116932119286236e-10
2.000017676850568693e-01,1.931864641274094227e-10
2.033351304798078074e-01,4.610897497622218199e-11
2.066684932745587455e-01,1.381079965427932637e-10
2.100018560693097114e-01,1.201847029310191852e-10
2.133352188640606495e-01,3.587002394971503875e-10
2.166685816588115876e-01,1.155728620761595714e-10
2.200019444535625535e-01,1.489652891024665508e-10
2.233353072483134916e-01,1.254087759591315917e-10
2.266686700430644297e-01,1.242625262691293452e-11
2.300020328378153955e-01,1.746606950860255832e-10
2.333353956325663336e-01,5.627695339903709469e-11
2.366687584273172718e-01,3.169755467349374515e-11
2.400021212220682376e-01,2.741908852648373560e-10
2.433354840168191757e-01,2.531671126706636716e-10
2.466688468115701138e-01,8.965731557642414265e-11
2.500022096063210797e-01,6.016777411071026654e-10
2.533355724010720178e-01,9.144333344455917413e-11
2.566689351958229559e-01,2.839924561031597709e-11
2.600022979905738940e-01,1.015769590295462537e-10
2.633356607853248876e-01,1.621825935423661718e-11
2.666690235800758257e-01,1.092089298194099089e-10
2.700023863748267638e-01,2.906019639579665907e-10
2.733357491695777020e-01,3.484667121726695471e-11
2.766691119643286401e-01,3.875089244596122451e-11
2.800024747590795782e-01,1.072059533472762129e-10
2.833358375538305718e-01,1.306357899352508739e-10
2.866692003485815099e-01,7.096103023550229454e-11
2.900025631433324480e-01,3.266013026800146646e-10
2.933359259380833861e-01,9.655035103342512236e-11
2.966692887328343242e-01,3.011335677729079701e-10
3.000026515275852623e-01,7.349254094567861898e-11
3.033360143223362559e-01,9.122784980779569659e-11
3.066693771170871941e-01,4.049950661204156728e-11
3.100027399118381322e-01,2.179160847251403845e-10
3.133361027065890703e-01,1.867598043161148257e-10
3.166694655013400084e-01,1.277113598606358099e-10
3.200028282960909465e-01,7.481079031861393417e-12
3.233361910908419401e-01,2.483132613519859092e-10
3.266695538855928782e-01,8.832255335832579323e-11
3.300029166803438163e-01,3.692897463963508742e-11
3.333362794750947544e-01,4.748784014062937916e-11
3.366696422698456925e-01,2.901748191712886979e-10
3.400030050645966861e-01,2.239071415230951411e-10
3.433363678593476243e-01,1.305574074669512092e-11
3.466697306540985624e-01,3.508916846524340219e-11
3.500030934488495005e-01,6.273094487242946676e-10
3.533364562436004386e-01,1.279304418861671501e-11
3.566698190383513767e-01,1.697427462701811977e-10
3.600031818331023703e-01,1.211909856689093123e-10
3.633365446278533084e-01,9.807570888233611389e-11
3.666699074226042465e-01,2.734123667880444277e-11
3.700032702173551846e-01,1.424550938530982454e-10
3.733366330121061227e-01,1.944928560487158064e-10
3.766699958068570608e-01,5.944112480531584411e-11
3.800033586016080545e-01,3.216947307182770436e-10
3.833367213963589926e-01,2.511671404400276195e-10
3.866700841911099307e-01,4.212524083586051940e-10
3.900034469858608688e-01,2.542323627041281508e-12
3.933368097806118069e-01,1.816257090117440730e-10
3.966701725753627450e-01,1.983984215714927982e-10
4.000035353701137386e-01,2.130465288687093342e-10
4.033368981648646767e-01,1.713155125993375418e-10
4.066702609596156148e-01,7.187447781491742135e-10
4.100036237543665529e-01,2.076597886923594434e-10
4.133369865491174910e-01,3.194227885243423464e-10
4.166703493438684291e-01,1.380074935494985792e-10
4.200037121386194228e-01,1.635595900162241244e-10
4.233370749333703609e-01,6.339906491642932750e-11
4.266704377281212990e-01,6.937401024523669509e-11
4.300038005228722371e-01,4.258779988789855270e-11
4.333371633176231752e-01,7.443170249901887880e-11
4.366705261123741688e-01,2.852771628331799202e-10
4.400038889071251069e-01,1.049767786256840523e-10
4.433372517018760450e-01,3.451693099879637316e-10
4.466706144966269831e-01,1.995085125700823429e-11
4.500039772913779212e-01,3.381231418948892118e-11
4.533373400861288594e-01,5.414181912870455010e-11
4.566707028808798530e-01,2.857972262778086532e-11
4.600040656756307911e-01,1.262860977400231763e-10
4.633374284703817292e-01,3.052592428627462411e-11
4.666707912651326673e-01,1.133173954592730662e-10
4.700041540598836054e-01,1.263489436308608480e-10
4.733375168546345435e-01,2.680463996892797849e-11
4.766708796493855371e-01,1.086768100635496240e-10
4.800042424441364752e-01,4.572764508688298826e-10
4.833376052388874133e-01,1.157764579270897519e-10
4.866709680336383514e-01,1.466563817613860064e-10
4.900043308283892896e-01,3.067353991643995671e-11
4.933376936231402277e-01,1.227681826783142655e-10
4.966710564178912213e-01,5.758658328070739865e-12
5.000044192126421594e-01,1.368484343293112633e-10
5.033377820073930975e-01,1.079017713108356865e-10
5.066711448021440356e-01,2.139282162208878251e-11
5.100045075968949737e-01,5.647216679675730685e-10
5.133378703916459118e-01,7.138284822659713905e-11
5.166712331863968499e-01,4.859239569108523063e-10
5.200045959811477880e-01,2.482127962591253388e-10
5.233379587758987261e-01,1.800407344633918943e-11
5.266713215706497753e-01,3.768633802840065220e-11
5.300046843654007134e-01,6.048840448785680039e-12
5.333380471601516515e-01,6.420375835284996206e-11
5.366714099549025896e-01,1.711633192644433249e-10
5.400047727496535277e-01,8.622386256911303795e-11
5.433381355444044658e-01,2.314120387315737259e-11
5.466714983391554039e-01,1.667224049188482822e-11
5.500048611339063420e-01,2.933567788339604402e-10
5.533382239286572801e-01,1.861747760131025985e-10
5.566715867234082182e-01,9.069592848637701345e-11
5.600049495181591563e-01,4.929430467454361881e-11
5.633383123129102055e-01,5.453850452904564515e-11
5.666716751076611436e-01,1.654479132922430252e-10
5.700050379024120817e-01,6.496505887348151734e-11
5.733384006971630198e-01,2.347995371690619044e-10
5.766717634919139579e-01,9.955018078815868564e-11
5.800051262866648960e-01,3.682086439234544961e-10
5.833384890814158341e-01,4.875198509696018734e-11
5.866718518761667722e-01,1.483315156333278201e-11
5.900052146709177103e-01,5.407239745533763477e-11
5.933385774656686484e-01,7.475587093717540951e-11
5.966719402604195865e-01,1.360984446945620865e-10
6.000053030551705247e-01,4.450719740489635441e-11
6.033386658499215738e-01,1.728284842113314017e-10
6.066720286446725119e-01,1.329569636322196419e-11
6.100053914394234500e-01,5.198312872321787827e-11
6.133387542341743881e-01,1.407915253996900603e-10
6.166721170289253262e-01,3.029379306126295266e-11
6.200054798236762643e-01,5.598808867715809349e-10
6.233388426184272024e-01,7.010310165044883049e-11
6.266722054131781405e-01,2.434857016567289036e-10
6.300055682079290786e-01,6.850656370587164442e-12
6.333389310026800167e-01,7.162288177239483431e-11
6.366722937974309549e-01,1.033741150670885528e-10
6.400056565921818930e-01,3.040373959221749579e-10
6.433390193869329421e-01,3.091314603914813833e-11
6.466723821816838802e-01,9.624185974051170633e-11
6.500057449764348183e-01,1.127302336145926491e-11
6.533391077711857564e-01,6.040540736242336228e-11
6.566724705659366945e-01,1.501241680220768008e-10
6.600058333606876326e-01,8.579616079966725113e-11
6.633391961554385707e-01,4.369543722034349041e-11
6.666725589501895088e-01,1.745352122485973209e-10
6.700059217449404469e-01,1.804030174992907886e-10
6.733392845396913851e-01,4.397099251605857307e-11
6.766726473344423232e-01,8.345342256685337191e-11
6.800060101291933723e-01,2.704260459972343949e-11
6.833393729239443104e-01,3.307334556629938968e-11
6.866727357186952485e-01,1.569065273026345439e-11
6.900060985134461866e-01,1.462969849407367090e-10
6.933394613081971247e-01,3.690431293165068476e-10
6.966728241029480628e-01,2.241767901977737825e-10
7.000061868976990009e-01,3.118230463924636767e-10
7.033395496924499390e-01,3.614196202321353057e-11
7.066729124872008772e-01,3.987300699070245155e-10
7.100062752819518153e-01,8.348502073520885112e-11
7.133396380767027534e-01,2.259610635625099719e-10
7.166730008714536915e-01,2.092649469983546044e-11
7.200063636662047406e-01,5.474865690304816229e-11
7.233397264609556787e-01,4.834572283085562622e-12
7.266730892557066168e-01,1.909716631228735678e-10
7.300064520504575549e-01,7.309692793537395119e-11
7.333398148452084930e-01,1.400239895231878540e-10
7.366731776399594311e-01,6.662215680567210944e-11
7.400065404347103692e-01,6.662870134447141740e-11
7.433399032294613074e-01,4.875995319913999579e-12
7.466732660242122455e-01,1.521007821329066205e-10
7.500066288189631836e-01,2.001531730671057102e-11
7.533399916137141217e-01,2.004631568893332686e-10
7.566733544084651708e-01,1.475285439752937626e-10
7.600067172032161089e-01,5.686111350192467908e-11
7.633400799979670470e-01,6.610671330664319517e-11
7.666734427927179851e-01,4.584317247141192340e-12
7.700068055874689232e-01,3.238088380420747024e-10
7.733401683822198613e-01,1.545531490975155476e-10
7.766735311769707995e-01,3.840416953569289275e-11
7.800068939717217376e-01,1.926301266410713140e-12
7.833402567664726757e-01,1.306848858645392464e-10
7.866736195612236138e-01,1.916768748221289648e-10
7.900069823559745519e-01,2.075978553977609468e-11
7.933403451507254900e-01,2.443804785939544458e-11
7.966737079454765391e-01,4.882406595111446641e-11
8.000070707402274772e-01,5.832170433556920925e-11
8.033404335349784153e-01,1.298052208030831309e-10
8.066737963297293534e-01,8.183131540383331661e-11
8.100071591244802915e-01,1.633754453243447137e-10
8.133405219192312297e-01,1.794091177588936007e-10
8.166738847139821678e-01,8.979490833228862418e-12
8.200072475087331059e-01,5.402015220300194371e-11
8.233406103034840440e-01,1.071655919040418063e-10
8.266739730982349821e-01,5.709940331082269857e-11
8.300073358929859202e-01,2.381706797771781658e-10
8.333406986877368583e-01,2.908408330121191363e-10
8.366740614824879074e-01,1.353904850997694583e-10
8.400074242772388455e-01,5.647929399654797622e-11
8.433407870719897836e-01,1.118503338629520238e-10
8.466741498667407217e-01,1.306245788569247123e-10
8.500075126614916599e-01,1.398045389831670177e-10
8.533408754562425980e-01,1.171028097537325069e-10
8.566742382509935361e-01,3.782830097583411265e-10
8.600076010457444742e-01,2.493153587496898744e-11
8.633409638404954123e-01,2.224333895516089840e-11
8.666743266352463504e-01,4.010717910157117246e-10
8.700076894299972885e-01,6.247470663639196748e-11
8.733410522247483376e-01,3.529295735499331897e-11
8.766744150194992757e-01,5.714651765281253261e-11
8.800077778142502138e-01,3.542994156951273917e-11
8.833411406090011520e-01,3.774067953630834175e-11
8.866745034037520901e-01,3.942193525128096877e-11
8.900078661985030282e-01,2.017531462265674272e-10
8.933412289932539663e-01,4.740217332059423497e-11
8.966745917880049044e-01,5.152489821939149541e-11
9.000079545827558425e-01,3.250091110304497668e-10
9.033413173775067806e-01,3.258960207189687771e-10
9.066746801722577187e-01,1.080939488114495012e-10
9.100080429670086568e-01,1.474419881096408975e-10
9.133414057617597059e-01,4.868093506741742067e-11
9.166747685565106440e-01,6.389688665928974684e-11
9.200081313512615822e-01,9.952654579724593511e-11
9.233414941460125203e-01,2.652409729944143589e-11
9.266748569407634584e-01,9.604818184739659387e-11
9.300082197355143965e-01,1.583136739857015968e-10
9.333415825302653346e-01,8.232257214936265078e-11
9.366749453250162727e-01,1.901535362161646115e-10
9.400083081197672108e-01,9.407787784406225297e-11
9.433416709145181489e-01,5.420313637240763035e-10
9.466750337092690870e-01,1.615855018622940631e-11
9.500083965040200251e-01,3.159569067996049678e-10
9.533417592987710742e-01,1.531259632356385482e-10
9.566751220935220124e-01,1.443730203591252708e-10
9.600084848882729505e-01,7.775173804028135778e-12
9.633418476830238886e-01,4.721081916037661292e-11
9.666752104777748267e-01,9.315689037005919559e-11
9.700085732725257648e-01,5.073594256414402214e-11
