time_s,ensemble_average_voltage_v
8.459925227582965590e+01,2.494364844428168304e+00
8.462925201067923808e+01,2.494330936008029465e+00
8.465925174552882027e+01,2.494299146864149108e+00
8.468925148037840245e+01,2.494362725151909821e+00
8.471925121522798463e+01,2.494324578179253571e+00
8.474925095007758102e+01,2.494292789035373215e+00
8.477925068492716321e+01,2.494311862521701340e+00
8.480925041977674539e+01,2.494335174560546875e+00
8.483925015462632757e+01,2.494316101074218750e+00
8.486924988947590975e+01,2.494277954101562500e+00
8.489924962432550615e+01,2.494333055284288392e+00
8.492924935917508833e+01,2.494343651665581696e+00
8.495924909402467051e+01,2.494318220350477233e+00
8.498924882887425269e+01,2.494313981797960267e+00
8.501924856372383488e+01,2.494307623969183929e+00
8.504924829857343127e+01,2.494324578179253571e+00
8.507924803342301345e+01,2.494280073377820983e+00
8.510924776827259564e+01,2.494335174560546875e+00
8.513924750312217782e+01,2.494320339626736160e+00
8.516924723797176000e+01,2.494290669759114731e+00
8.519924697282135639e+01,2.494294908311632142e+00
8.522924670767093858e+01,2.494292789035373215e+00
8.525924644252052076e+01,2.494390275743272767e+00
8.528924617737010294e+01,2.494288550482855804e+00
8.531924591221968512e+01,2.494383917914496429e+00
8.534924564706928152e+01,2.494307623969183929e+00
8.537924538191886370e+01,2.494301266140408035e+00
8.540924511676844588e+01,2.494326697455512054e+00
8.543924485161802806e+01,2.494337293836805358e+00
8.546924458646761025e+01,2.494299146864149108e+00
8.549924432131720664e+01,2.494366963704427231e+00
8.552924405616678882e+01,2.494297027587890625e+00
8.555924379101637101e+01,2.494303385416666519e+00
8.558924352586595319e+01,2.494263119167751785e+00
8.561924326071553537e+01,2.494417826334635269e+00
8.564924299556513176e+01,2.494305504692925446e+00
8.567924273041471395e+01,2.494333055284288392e+00
8.570924246526429613e+01,2.494345770941840179e+00
8.573924220011387831e+01,2.494362725151909821e+00
8.576924193496346049e+01,2.494311862521701340e+00
8.579924166981305689e+01,2.494311862521701340e+00
8.582924140466263907e+01,2.494260999891492858e+00
8.585924113951222125e+01,2.494303385416666519e+00
8.588924087436180344e+01,2.494263119167751785e+00
8.591924060921138562e+01,2.494347890218099106e+00
8.594924034406098201e+01,2.494394514295789733e+00
8.597924007891056419e+01,2.494282192654079910e+00
8.600923981376014638e+01,2.494250403510199554e+00
8.603923954860972856e+01,2.494288550482855804e+00
8.606923928345931074e+01,2.494383917914496429e+00
8.609923901830890713e+01,2.494358486599392410e+00
8.612923875315848932e+01,2.494282192654079910e+00
8.615923848800807150e+01,2.494282192654079910e+00
8.618923822285765368e+01,2.494333055284288392e+00
8.621923795770723586e+01,2.494263119167751785e+00
8.624923769255683226e+01,2.494328816731770981e+00
8.627923742740641444e+01,2.494263119167751785e+00
8.630923716225599662e+01,2.494265238444010269e+00
8.633923689710557881e+01,2.494390275743272767e+00
8.636923663195516099e+01,2.494328816731770981e+00
8.639923636680475738e+01,2.494294908311632142e+00
8.642923610165433956e+01,2.494299146864149108e+00
8.645923583650392175e+01,2.494350009494357590e+00
8.648923557135350393e+01,2.494263119167751785e+00
8.651923530620308611e+01,2.494383917914496429e+00
8.654923504105268250e+01,2.494333055284288392e+00
8.657923477590226469e+01,2.494326697455512054e+00
8.660923451075184687e+01,2.494411468505859375e+00
8.663923424560142905e+01,2.494347890218099106e+00
8.666923398045101123e+01,2.494335174560546875e+00
8.669923371530059342e+01,2.494335174560546875e+00
8.672923345015018981e+01,2.494386037190755356e+00
8.675923318499977199e+01,2.494381798638237946e+00
8.678923291984935418e+01,2.494322458902994644e+00
8.681923265469893636e+01,2.494275834825304017e+00
8.684923238954851854e+01,2.494400872124566071e+00
8.687923212439811493e+01,2.494313981797960267e+00
8.690923185924769712e+01,2.494390275743272767e+00
8.693923159409727930e+01,2.494309743245442856e+00
8.696923132894686148e+01,2.494345770941840179e+00
8.699923106379644366e+01,2.494328816731770981e+00
8.702923079864604006e+01,2.494282192654079910e+00
8.705923053349562224e+01,2.494337293836805358e+00
8.708923026834520442e+01,2.494309743245442856e+00
8.711923000319478660e+01,2.494290669759114731e+00
8.714922973804436879e+01,2.494337293836805358e+00
8.717922947289396518e+01,2.494375440809461608e+00
8.720922920774354736e+01,2.494273715549045090e+00
8.723922894259312955e+01,2.494271596272786606e+00
8.726922867744271173e+01,2.494275834825304017e+00
8.729922841229229391e+01,2.494339413113064285e+00
8.732922814714189030e+01,2.494379679361979019e+00
8.735922788199147249e+01,2.494379679361979019e+00
8.738922761684105467e+01,2.494297027587890625e+00
8.741922735169063685e+01,2.494390275743272767e+00
8.744922708654021903e+01,2.494275834825304017e+00
8.747922682138981543e+01,2.494345770941840179e+00
8.750922655623939761e+01,2.494258880615234375e+00
8.753922629108897979e+01,2.494311862521701340e+00
8.756922602593856197e+01,2.494297027587890625e+00
8.759922576078814416e+01,2.494324578179253571e+00
8.762922549563774055e+01,2.494339413113064285e+00
8.765922523048732273e+01,2.494288550482855804e+00
8.768922496533690492e+01,2.494273715549045090e+00
8.771922470018648710e+01,2.494333055284288392e+00
8.774922443503606928e+01,2.494337293836805358e+00
8.777922416988566567e+01,2.494326697455512054e+00
8.780922390473524786e+01,2.494269476996527679e+00
8.783922363958483004e+01,2.494341532389322769e+00
8.786922337443441222e+01,2.494375440809461608e+00
8.789922310928399440e+01,2.494328816731770981e+00
8.792922284413359080e+01,2.494286431206597321e+00
8.795922257898317298e+01,2.494345770941840179e+00
8.798922231383275516e+01,2.494316101074218750e+00
8.801922204868233734e+01,2.494337293836805358e+00
8.804922178353191953e+01,2.494358486599392410e+00
8.807922151838151592e+01,2.494290669759114731e+00
8.810922125323109810e+01,2.494356367323133483e+00
8.813922098808068029e+01,2.494383917914496429e+00
8.816922072293026247e+01,2.494277954101562500e+00
8.819922045777984465e+01,2.494224972195095535e+00
8.822922019262944104e+01,2.494195302327474106e+00
8.825921992747902323e+01,2.494339413113064285e+00
8.828921966232860541e+01,2.494290669759114731e+00
8.831921939717818759e+01,2.494284311930338394e+00
8.834921913202776977e+01,2.494356367323133483e+00
8.837921886687736617e+01,2.494320339626736160e+00
8.840921860172694835e+01,2.494392395019531250e+00
8.843921833657653053e+01,2.494239807128906250e+00
8.846921807142611272e+01,2.494275834825304017e+00
8.849921780627569490e+01,2.494275834825304017e+00
8.852921754112529129e+01,2.494318220350477233e+00
8.855921727597487347e+01,2.494373321533203125e+00
8.858921701082445566e+01,2.494309743245442856e+00
8.861921674567403784e+01,2.494358486599392410e+00
8.864921648052362002e+01,2.494301266140408035e+00
8.867921621537320220e+01,2.494366963704427231e+00
8.870921595022279860e+01,2.494286431206597321e+00
8.873921568507238078e+01,2.494267357720269196e+00
8.876921541992196296e+01,2.494273715549045090e+00
8.879921515477154514e+01,2.494269476996527679e+00
8.882921488962112733e+01,2.494335174560546875e+00
8.885921462447072372e+01,2.494350009494357590e+00
8.888921435932030590e+01,2.494326697455512054e+00
8.891921409416988809e+01,2.494341532389322769e+00
8.894921382901947027e+01,2.494311862521701340e+00
8.897921356386905245e+01,2.494322458902994644e+00
8.900921329871864884e+01,2.494309743245442856e+00
8.903921303356823103e+01,2.494231330023871429e+00
8.906921276841781321e+01,2.494313981797960267e+00
8.909921250326739539e+01,2.494292789035373215e+00
8.912921223811697757e+01,2.494350009494357590e+00
8.915921197296657397e+01,2.494248284233941071e+00
8.918921170781615615e+01,2.494316101074218750e+00
8.921921144266573833e+01,2.494341532389322769e+00
8.924921117751532051e+01,2.494299146864149108e+00
8.927921091236490270e+01,2.494299146864149108e+00
8.930921064721449909e+01,2.494254642062716965e+00
8.933921038206408127e+01,2.494366963704427231e+00
8.936921011691366346e+01,2.494333055284288392e+00
8.939920985176324564e+01,2.494324578179253571e+00
8.942920958661282782e+01,2.494343651665581696e+00
8.945920932146242421e+01,2.494282192654079910e+00
8.948920905631200640e+01,2.494339413113064285e+00
8.951920879116158858e+01,2.494358486599392410e+00
8.954920852601117076e+01,2.494371202256944642e+00
8.957920826086075294e+01,2.494328816731770981e+00
8.960920799571034934e+01,2.494360605875650894e+00
8.963920773055993152e+01,2.494280073377820983e+00
8.966920746540951370e+01,2.494286431206597321e+00
8.969920720025909588e+01,2.494375440809461608e+00
8.972920693510867807e+01,2.494318220350477233e+00
8.975920666995827446e+01,2.494337293836805358e+00
8.978920640480785664e+01,2.494383917914496429e+00
8.981920613965743883e+01,2.494373321533203125e+00
8.984920587450702101e+01,2.494381798638237946e+00
8.987920560935660319e+01,2.494309743245442856e+00
8.990920534420619958e+01,2.494324578179253571e+00
8.993920507905578177e+01,2.494275834825304017e+00
8.996920481390536395e+01,2.494324578179253571e+00
8.999920454875494613e+01,2.494335174560546875e+00
9.002920428360452831e+01,2.494294908311632142e+00
9.005920401845412471e+01,2.494407229953341965e+00
9.008920375330370689e+01,2.494350009494357590e+00
9.011920348815328907e+01,2.494277954101562500e+00
9.014920322300287125e+01,2.494386037190755356e+00
9.017920295785245344e+01,2.494220733642578125e+00
9.020920269270204983e+01,2.494320339626736160e+00
9.023920242755163201e+01,2.494233449300130356e+00
9.026920216240121420e+01,2.494303385416666519e+00
9.029920189725079638e+01,2.494237687852647767e+00
9.032920163210037856e+01,2.494335174560546875e+00
9.035920136694997495e+01,2.494356367323133483e+00
9.038920110179955714e+01,2.494396633572048660e+00
9.041920083664913932e+01,2.494320339626736160e+00
9.044920057149872150e+01,2.494345770941840179e+00
9.047920030634830368e+01,2.494263119167751785e+00
9.050920004119790008e+01,2.494318220350477233e+00
9.053919977604748226e+01,2.494244045681423660e+00
9.056919951089706444e+01,2.494366963704427231e+00
9.059919924574664662e+01,2.494407229953341965e+00
9.062919898059622881e+01,2.494328816731770981e+00
9.065919871544582520e+01,2.494362725151909821e+00
9.068919845029540738e+01,2.494290669759114731e+00
9.071919818514498957e+01,2.494260999891492858e+00
9.074919791999457175e+01,2.494388156467013840e+00
9.077919765484415393e+01,2.494294908311632142e+00
9.080919738969373611e+01,2.494290669759114731e+00
9.083919712454333251e+01,2.494303385416666519e+00
9.086919685939291469e+01,2.494271596272786606e+00
9.089919659424249687e+01,2.494330936008029465e+00
9.092919632909207905e+01,2.494324578179253571e+00
9.095919606394166124e+01,2.494369082980685715e+00
9.098919579879125763e+01,2.494333055284288392e+00
9.101919553364083981e+01,2.494284311930338394e+00
9.104919526849042200e+01,2.494275834825304017e+00
9.107919500334000418e+01,2.494392395019531250e+00
9.110919473818958636e+01,2.494275834825304017e+00
9.113919447303918275e+01,2.494356367323133483e+00
9.116919420788876494e+01,2.494309743245442856e+00
9.119919394273834712e+01,2.494320339626736160e+00
9.122919367758792930e+01,2.494318220350477233e+00
9.125919341243751148e+01,2.494316101074218750e+00
9.128919314728710788e+01,2.494379679361979019e+00
9.131919288213669006e+01,2.494341532389322769e+00
9.134919261698627224e+01,2.494402991400824554e+00
9.137919235183585442e+01,2.494356367323133483e+00
9.140919208668543661e+01,2.494360605875650894e+00
9.143919182153503300e+01,2.494324578179253571e+00
9.146919155638461518e+01,2.494309743245442856e+00
9.149919129123419737e+01,2.494299146864149108e+00
9.152919102608377955e+01,2.494356367323133483e+00
9.155919076093336173e+01,2.494322458902994644e+00
9.158919049578295812e+01,2.494335174560546875e+00
9.161919023063254031e+01,2.494326697455512054e+00
9.164918996548212249e+01,2.494388156467013840e+00
9.167918970033170467e+01,2.494330936008029465e+00
9.170918943518128685e+01,2.494400872124566071e+00
9.173918917003088325e+01,2.494364844428168304e+00
9.176918890488046543e+01,2.494360605875650894e+00
9.179918863973004761e+01,2.494388156467013840e+00
9.182918837457962979e+01,2.494294908311632142e+00
9.185918810942921198e+01,2.494330936008029465e+00
9.188918784427880837e+01,2.494294908311632142e+00
9.191918757912839055e+01,2.494299146864149108e+00
9.194918731397797274e+01,2.494341532389322769e+00
9.197918704882755492e+01,2.494341532389322769e+00
9.200918678367713710e+01,2.494277954101562500e+00
9.203918651852673349e+01,2.494326697455512054e+00
9.206918625337631568e+01,2.494405110677083481e+00
9.209918598822589786e+01,2.494330936008029465e+00
9.212918572307548004e+01,2.494350009494357590e+00
9.215918545792506222e+01,2.494428422715929017e+00
9.218918519277465862e+01,2.494254642062716965e+00
9.221918492762424080e+01,2.494282192654079910e+00
9.224918466247382298e+01,2.494252522786458481e+00
9.227918439732340516e+01,2.494309743245442856e+00
9.230918413217298735e+01,2.494371202256944642e+00
9.233918386702258374e+01,2.494322458902994644e+00
9.236918360187216592e+01,2.494244045681423660e+00
9.239918333672174811e+01,2.494284311930338394e+00
9.242918307157133029e+01,2.494271596272786606e+00
9.245918280642091247e+01,2.494352128770616517e+00
9.248918254127050886e+01,2.494379679361979019e+00
9.251918227612009105e+01,2.494328816731770981e+00
9.254918201096967323e+01,2.494328816731770981e+00
9.257918174581925541e+01,2.494377560085720535e+00
9.260918148066883759e+01,2.494350009494357590e+00
9.263918121551843399e+01,2.494369082980685715e+00
9.266918095036801617e+01,2.494339413113064285e+00
9.269918068521759835e+01,2.494354248046875000e+00
9.272918042006718053e+01,2.494343651665581696e+00
9.275918015491676272e+01,2.494379679361979019e+00
9.278917988976634490e+01,2.494294908311632142e+00
9.281917962461594129e+01,2.494341532389322769e+00
9.284917935946552348e+01,2.494400872124566071e+00
9.287917909431510566e+01,2.494324578179253571e+00
9.290917882916468784e+01,2.494383917914496429e+00
9.293917856401427002e+01,2.494216495090060715e+00
9.296917829886386642e+01,2.494324578179253571e+00
9.299917803371344860e+01,2.494447496202257142e+00
9.302917776856303078e+01,2.494352128770616517e+00
9.305917750341261296e+01,2.494388156467013840e+00
9.308917723826219515e+01,2.494292789035373215e+00
9.311917697311179154e+01,2.494271596272786606e+00
9.314917670796137372e+01,2.494282192654079910e+00
9.317917644281095590e+01,2.494345770941840179e+00
9.320917617766053809e+01,2.494290669759114731e+00
9.323917591251012027e+01,2.494292789035373215e+00
9.326917564735971666e+01,2.494388156467013840e+00
9.329917538220929885e+01,2.494256761338975892e+00
9.332917511705888103e+01,2.494286431206597321e+00
9.335917485190846321e+01,2.494318220350477233e+00
9.338917458675804539e+01,2.494333055284288392e+00
9.341917432160764179e+01,2.494292789035373215e+00
9.344917405645722397e+01,2.494400872124566071e+00
9.347917379130680615e+01,2.494377560085720535e+00
9.350917352615638833e+01,2.494347890218099106e+00
9.353917326100597052e+01,2.494343651665581696e+00
9.356917299585556691e+01,2.494383917914496429e+00
9.359917273070514909e+01,2.494358486599392410e+00
9.362917246555473128e+01,2.494305504692925446e+00
9.365917220040431346e+01,2.494345770941840179e+00
9.368917193525389564e+01,2.494282192654079910e+00
9.371917167010349203e+01,2.494309743245442856e+00
9.374917140495307422e+01,2.494288550482855804e+00
9.377917113980265640e+01,2.494292789035373215e+00
9.380917087465223858e+01,2.494354248046875000e+00
9.383917060950182076e+01,2.494218614366319642e+00
9.386917034435141716e+01,2.494335174560546875e+00
9.389917007920099934e+01,2.494286431206597321e+00
9.392916981405058152e+01,2.494345770941840179e+00
9.395916954890016370e+01,2.494369082980685715e+00
9.398916928374974589e+01,2.494350009494357590e+00
9.401916901859934228e+01,2.494392395019531250e+00
9.404916875344892446e+01,2.494322458902994644e+00
9.407916848829850665e+01,2.494328816731770981e+00
9.410916822314808883e+01,2.494267357720269196e+00
9.413916795799767101e+01,2.494269476996527679e+00
9.416916769284726740e+01,2.494347890218099106e+00
9.419916742769684959e+01,2.494362725151909821e+00
9.422916716254643177e+01,2.494305504692925446e+00
9.425916689739601395e+01,2.494316101074218750e+00
9.428916663224559613e+01,2.494345770941840179e+00
9.431916636709519253e+01,2.494375440809461608e+00
9.434916610194477471e+01,2.494362725151909821e+00
9.437916583679435689e+01,2.494303385416666519e+00
9.440916557164393907e+01,2.494320339626736160e+00
9.443916530649352126e+01,2.494366963704427231e+00
9.446916504134311765e+01,2.494369082980685715e+00
9.449916477619269983e+01,2.494313981797960267e+00
9.452916451104228202e+01,2.494341532389322769e+00
9.455916424589186420e+01,2.494305504692925446e+00
9.458916398074144638e+01,2.494366963704427231e+00
9.461916371559104277e+01,2.494290669759114731e+00
9.464916345044062496e+01,2.494311862521701340e+00
9.467916318529020714e+01,2.494343651665581696e+00
9.470916292013978932e+01,2.494362725151909821e+00
9.473916265498937150e+01,2.494297027587890625e+00
9.476916238983895369e+01,2.494260999891492858e+00
9.479916212468855008e+01,2.494394514295789733e+00
9.482916185953813226e+01,2.494362725151909821e+00
9.485916159438771444e+01,2.494330936008029465e+00
9.488916132923729663e+01,2.494316101074218750e+00
9.491916106408687881e+01,2.494409349229600892e+00
9.494916079893647520e+01,2.494373321533203125e+00
9.497916053378605739e+01,2.494358486599392410e+00
9.500916026863563957e+01,2.494362725151909821e+00
9.503916000348522175e+01,2.494252522786458481e+00
9.506915973833480393e+01,2.494337293836805358e+00
9.509915947318440033e+01,2.494424184163411606e+00
9.512915920803398251e+01,2.494313981797960267e+00
9.515915894288356469e+01,2.494343651665581696e+00
9.518915867773314687e+01,2.494318220350477233e+00
9.521915841258272906e+01,2.494286431206597321e+00
9.524915814743232545e+01,2.494390275743272767e+00
9.527915788228190763e+01,2.494369082980685715e+00
9.530915761713148981e+01,2.494341532389322769e+00
9.533915735198107200e+01,2.494386037190755356e+00
9.536915708683065418e+01,2.494350009494357590e+00
9.539915682168025057e+01,2.494290669759114731e+00
9.542915655652983276e+01,2.494424184163411606e+00
9.545915629137941494e+01,2.494301266140408035e+00
9.548915602622899712e+01,2.494273715549045090e+00
9.551915576107857930e+01,2.494392395019531250e+00
9.554915549592817570e+01,2.494339413113064285e+00
9.557915523077775788e+01,2.494284311930338394e+00
9.560915496562734006e+01,2.494386037190755356e+00
9.563915470047692224e+01,2.494345770941840179e+00
9.566915443532650443e+01,2.494345770941840179e+00
9.569915417017610082e+01,2.494360605875650894e+00
9.572915390502568300e+01,2.494339413113064285e+00
9.575915363987526518e+01,2.494369082980685715e+00
9.578915337472484737e+01,2.494366963704427231e+00
9.581915310957442955e+01,2.494337293836805358e+00
9.584915284442402594e+01,2.494343651665581696e+00
9.587915257927360813e+01,2.494339413113064285e+00
9.590915231412319031e+01,2.494333055284288392e+00
9.593915204897277249e+01,2.494311862521701340e+00
9.596915178382235467e+01,2.494258880615234375e+00
9.599915151867195107e+01,2.494339413113064285e+00
9.602915125352153325e+01,2.494326697455512054e+00
9.605915098837111543e+01,2.494330936008029465e+00
9.608915072322069761e+01,2.494326697455512054e+00
9.611915045807027980e+01,2.494364844428168304e+00
9.614915019291987619e+01,2.494350009494357590e+00
9.617914992776945837e+01,2.494307623969183929e+00
9.620914966261904056e+01,2.494275834825304017e+00
9.623914939746862274e+01,2.494301266140408035e+00
9.626914913231820492e+01,2.494277954101562500e+00
9.629914886716780131e+01,2.494335174560546875e+00
9.632914860201738350e+01,2.494360605875650894e+00
9.635914833686696568e+01,2.494369082980685715e+00
9.638914807171654786e+01,2.494299146864149108e+00
9.641914780656613004e+01,2.494299146864149108e+00
9.644914754141572644e+01,2.494322458902994644e+00
9.647914727626530862e+01,2.494326697455512054e+00
9.650914701111489080e+01,2.494311862521701340e+00
9.653914674596447298e+01,2.494286431206597321e+00
9.656914648081405517e+01,2.494341532389322769e+00
9.659914621566365156e+01,2.494405110677083481e+00
9.662914595051323374e+01,2.494299146864149108e+00
9.665914568536281593e+01,2.494419945610894196e+00
9.668914542021239811e+01,2.494341532389322769e+00
9.671914515506198029e+01,2.494290669759114731e+00
9.674914488991157668e+01,2.494345770941840179e+00
9.677914462476115887e+01,2.494316101074218750e+00
9.680914435961074105e+01,2.494360605875650894e+00
9.683914409446032323e+01,2.494305504692925446e+00
9.686914382930990541e+01,2.494286431206597321e+00
9.689914356415948760e+01,2.494409349229600892e+00
9.692914329900908399e+01,2.494352128770616517e+00
9.695914303385866617e+01,2.494318220350477233e+00
